TxPackets;TxTime;TxId;xPos;yPos
20064;2035;10;42;16
20083;2036;2;5;26
20102;2036;16;32;89
20121;2037;5;31;25
20140;2037;18;63;53
20159;2038;11;99;17
20178;2039;14;8;71
20197;2040;1;71;52
20216;2040;17;17;41
20235;2041;7;42;76
20254;2042;8;86;96
20273;2042;12;40;47
20292;2042;15;3;8
20311;2046;0;65;54
20330;2046;3;17;55
20349;2049;13;87;90
20368;2051;6;78;15
20387;2052;4;59;25
20406;2053;-1;66;72
20425;2055;9;4;40
20444;2055;10;42;16
20463;2056;2;5;26
20482;2056;16;32;89
20501;2057;5;31;25
20520;2057;18;63;53
20539;2058;11;99;17
20558;2059;14;8;71
20577;2060;1;71;52
20596;2060;17;17;41
20615;2061;7;42;76
20634;2061;9;4;40
20653;2062;8;86;96
20672;2062;12;40;47
20691;2062;15;3;8
20710;2066;0;65;54
20729;2066;3;17;55
20748;2069;13;87;90
20767;2071;6;78;15
20786;2072;4;59;25
20805;2073;-1;66;72
20824;2075;10;42;16
20843;2076;2;5;26
20862;2076;16;32;89
20881;2077;5;31;25
20900;2077;18;63;53
20919;2078;11;99;17
20938;2079;14;8;71
20957;2080;1;71;52
20976;2080;17;17;41
20995;2081;7;42;76
21014;2081;9;4;40
21033;2082;8;86;96
21052;2082;12;40;47
21071;2082;15;3;8
21090;2086;0;65;54
21109;2086;3;17;55
21128;2089;13;87;90
21147;2091;6;78;15
21166;2092;4;59;25
21185;2093;-1;66;72
21204;2095;10;42;16
21223;2096;2;5;26
21242;2096;16;32;89
21261;2097;5;31;25
21280;2097;18;63;53
21299;2098;11;99;17
21318;2099;14;8;71
21337;2100;1;71;52
21356;2100;17;17;41
21375;2101;7;42;76
21394;2101;9;4;40
21413;2102;8;86;96
21432;2102;12;40;47
21451;2102;15;3;8
21470;2106;0;65;54
21489;2106;3;17;55
21508;2109;13;87;90
21527;2111;6;78;15
21546;2112;4;59;25
21565;2113;-1;66;72
21584;2115;10;42;16
